Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.001 4.38039 8.20054 70.8158 0.294224 0.29571 4.21974 1.2681 3.40455
0.00104737 4.37965 8.19916 70.8248 0.293901 0.295386 4.21621 1.26804 3.40185
0.00109699 4.37886 8.19768 70.8343 0.293627 0.295111 4.20563 1.26686 3.40825
0.00114895 4.37803 8.19612 70.8444 0.293383 0.294866 4.19674 1.26595 3.41366
0.00120338 4.37716 8.19449 70.855 0.293191 0.294674 4.18933 1.26457 3.42604
0.00126038 4.37625 8.19279 70.866 0.293011 0.294493 4.17587 1.2629 3.44094
0.00132009 4.37531 8.19104 70.8774 0.292857 0.294338 4.17161 1.26156 3.45154
0.00138262 4.37434 8.18922 70.8892 0.292713 0.294195 4.1634 1.25994 3.4645
0.00144812 4.37335 8.18735 70.9014 0.292582 0.294063 4.14448 1.2567 3.49628
0.00151672 4.37232 8.18543 70.9139 0.292459 0.29394 4.13958 1.25551 3.50731
0.00158857 4.37126 8.18345 70.9267 0.292326 0.293806 4.12014 1.25234 3.53652
0.00166382 4.37017 8.18141 70.94 0.292207 0.293686 4.11406 1.25081 3.54919
0.00174263 4.36906 8.17932 70.9536 0.292055 0.293534 4.10335 1.24964 3.55834
0.00182518 4.36791 8.17717 70.9676 0.291912 0.293391 4.09928 1.24839 3.5685
0.00191164 4.36672 8.17495 70.982 0.291735 0.293214 4.08462 1.24659 3.58424
0.0020022 4.36551 8.17267 70.9968 0.291546 0.293024 4.09082 1.24767 3.5707
0.00209705 4.36425 8.17033 71.0121 0.291339 0.292816 4.08598 1.24817 3.5635
0.00219639 4.36297 8.16792 71.0278 0.2911 0.292576 4.09762 1.25022 3.53879
0.00230043 4.36164 8.16544 71.044 0.290852 0.292328 4.10474 1.25251 3.51249
0.0024094 4.36028 8.16289 71.0607 0.290603 0.292078 4.11371 1.25518 3.48166
0.00252354 4.35888 8.16026 71.0778 0.290338 0.291812 4.12205 1.25823 3.44884
0.00264308 4.35744 8.15757 71.0954 0.290067 0.29154 4.12814 1.26106 3.41889
0.00276829 4.35596 8.15479 71.1135 0.28982 0.291293 4.14186 1.26525 3.37559
0.00289942 4.35444 8.15195 71.1322 0.289577 0.291049 4.1461 1.26721 3.35412
0.00303677 4.35287 8.14903 71.1513 0.28936 0.290831 4.15477 1.27021 3.32216
0.00318063 4.35127 8.14603 71.1709 0.289165 0.290635 4.15282 1.27143 3.30779
0.00333129 4.34963 8.14296 71.1911 0.28902 0.29049 4.14712 1.27204 3.32339
0.0034891 4.34795 8.13981 71.2117 0.288902 0.290372 4.13678 1.27142 3.30458
0.00365438 4.34623 8.13658 71.2329 0.288803 0.290273 4.12474 1.27008 3.31237
0.00382749 4.34446 8.13328 71.2546 0.288749 0.290218 4.09976 1.2667 3.34082
0.00400881 4.34266 8.12991 71.2768 0.288729 0.290198 4.07604 1.26321 3.36943
0.00419871 4.34082 8.12645 71.2995 0.288714 0.290184 4.05255 1.25838 3.41175
0.0043976 4.33893 8.12292 71.3227 0.288735 0.290204 4.02421 1.25289 3.46006
0.00460592 4.337 8.11931 71.3465 0.288761 0.290231 3.98919 1.24593 3.52336
0.00482411 4.33502 8.11561 71.3709 0.288785 0.290254 3.95035 1.23835 3.59455
0.00505263 4.333 8.11183 71.3959 0.2888 0.290269 3.92093 1.23164 3.65682
0.00529198 4.33093 8.10795 71.4215 0.288808 0.290277 3.88618 1.22368 3.73544
0.00554266 4.32881 8.10398 71.4477 0.288786 0.290256 3.85175 1.2157 3.81588
0.00580523 4.32663 8.0999 71.4747 0.288741 0.29021 3.82389 1.20899 3.88143
0.00608022 4.32439 8.09571 71.5025 0.288654 0.290123 3.79444 1.20158 3.95725
0.00636825 4.32209 8.0914 71.531 0.28853 0.289999 3.77797 1.19571 4.01651
0.00666992 4.31972 8.08695 71.5605 0.288362 0.28983 3.76671 1.19093 4.06378
0.00698588 4.31727 8.08237 71.5909 0.288166 0.289634 3.75879 1.18697 4.10085
0.00731681 4.31474 8.07764 71.6224 0.287904 0.28937 3.75799 1.1843 4.12218
0.00766341 4.31213 8.07274 71.655 0.287602 0.289068 3.75776 1.18252 4.13482
0.00802643 4.30942 8.06767 71.6887 0.287259 0.288724 3.77728 1.18278 4.12109
0.00840665 4.30662 8.06243 71.7237 0.286888 0.288352 3.7965 1.18396 4.09743
0.00880488 4.30371 8.05699 71.76 0.286479 0.287942 3.82047 1.18693 4.05468
0.00922198 4.3007 8.05135 71.7977 0.286059 0.287521 3.85525 1.19148 3.99511
0.00965883 4.29758 8.04551 71.8368 0.285621 0.287081 3.89804 1.19697 3.92691
0.0101164 4.29435 8.03945 71.8774 0.285205 0.286663 3.94898 1.20447 3.84175
0.0105956 4.291 8.03319 71.9194 0.28478 0.286237 3.99379 1.21205 3.76132
0.0110975 4.28754 8.02671 71.963 0.284385 0.285841 4.04834 1.22123 3.66498
0.0116232 4.28396 8.02002 72.008 0.284033 0.285488 4.09844 1.23079 3.56837
0.0121738 4.28028 8.01312 72.0545 0.283723 0.285177 4.1591 1.24134 3.47747
0.0127505 4.27649 8.00603 72.1023 0.283473 0.284926 4.20908 1.25133 3.39125
0.0133545 4.2726 7.99874 72.1516 0.283283 0.284736 4.26838 1.26288 3.29527
0.0139871 4.26861 7.99127 72.2022 0.283157 0.284609 4.31283 1.2728 3.21882
0.0146497 4.26453 7.98364 72.2539 0.283104 0.284557 4.35666 1.28313 3.14404
0.0153437 4.26037 7.97586 72.3068 0.283111 0.284563 4.39526 1.293 3.07615
0.0160705 4.25615 7.96794 72.3607 0.283185 0.284638 4.43229 1.30275 3.01048
0.0168318 4.25185 7.95991 72.4154 0.283308 0.28476 4.45097 1.3111 2.98059
0.0176291 4.24751 7.95178 72.471 0.283508 0.284961 4.47266 1.31893 2.91536
0.0184642 4.24312 7.94356 72.5271 0.283732 0.285186 4.48738 1.32643 2.87461
0.0193389 4.2387 7.93529 72.5839 0.283994 0.285449 4.49478 1.33313 2.8379
0.020255 4.23426 7.92697 72.641 0.284291 0.285746 4.49768 1.33944 2.80516
0.0212145 4.2298 7.91861 72.6985 0.284602 0.286058 4.49373 1.34489 2.77918
0.0222195 4.22533 7.91025 72.7561 0.284933 0.28639 4.46474 1.34728 2.77378
0.023272 4.22086 7.90188 72.8139 0.285261 0.286719 4.45289 1.35081 2.75802
0.0243744 4.21639 7.89352 72.8717 0.285605 0.287065 4.41685 1.35183 2.75991
0.0255291 4.21194 7.88518 72.9295 0.285924 0.287384 4.39088 1.35348 2.75725
0.0267384 4.20749 7.87686 72.9873 0.28625 0.287712 4.34435 1.35191 2.7745
0.028005 4.20306 7.86856 73.045 0.286572 0.288035 4.2927 1.3493 2.79873
0.0293317 4.19864 7.86029 73.1027 0.286865 0.288328 4.23704 1.34577 2.82915
0.0307211 4.19423 7.85203 73.1603 0.287156 0.288621 4.17123 1.33966 2.87857
0.0321764 4.18983 7.84378 73.218 0.287434 0.288899 4.10056 1.33247 2.93623
0.0337006 4.18542 7.83553 73.2758 0.287693 0.289159 4.01796 1.32305 3.01173
0.0352971 4.181 7.82726 73.3339 0.287933 0.2894 3.93868 1.31284 3.09742
0.0369691 4.17656 7.81894 73.3924 0.288147 0.289615 3.856 1.30067 3.20045
0.0387204 4.17207 7.81054 73.4516 0.288348 0.289816 3.75867 1.286 3.33063
0.0405546 4.16752 7.80203 73.5117 0.288511 0.289979 3.6666 1.27169 3.46222
0.0424757 4.1629 7.79337 73.573 0.28864 0.290109 3.5746 1.25546 3.6198
0.0444878 4.15816 7.7845 73.6358 0.288732 0.290201 3.47835 1.23837 3.79569
0.0465953 4.15328 7.77536 73.7007 0.288778 0.290247 3.3753 1.21994 3.99254
0.0488025 4.14822 7.7659 73.7681 0.288762 0.290231 3.27657 1.20091 4.21146
0.0511143 4.14295 7.75603 73.8385 0.288692 0.290162 3.18291 1.18265 4.435
0.0535357 4.13741 7.74566 73.9126 0.288544 0.290013 3.10092 1.16491 4.66183
0.0560717 4.13156 7.73471 73.991 0.28831 0.289778 3.01517 1.14688 4.90519
0.0587279 4.12534 7.72306 74.0747 0.287978 0.289445 2.92669 1.12856 5.16766
0.0615099 4.11869 7.7106 74.1645 0.287553 0.289018 2.85776 1.11276 5.39922
0.0644236 4.11153 7.69721 74.2612 0.287006 0.28847 2.79198 1.09766 5.6295
0.0674754 4.1038 7.68274 74.3661 0.286345 0.287807 2.73032 1.08349 5.8506
0.0706718 4.09543 7.66706 74.4801 0.285543 0.287003 2.67667 1.07104 6.04378
0.0740196 4.08633 7.65002 74.6045 0.284621 0.286077 2.63946 1.06118 6.18858
0.077526 4.07642 7.63147 74.7405 0.283565 0.285019 2.60174 1.05219 6.31855
0.0811984 4.06563 7.61127 74.8892 0.282393 0.283843 2.58092 1.04625 6.38131
0.0850449 4.05387 7.58927 75.052 0.28112 0.282566 2.56617 1.04163 6.41785
0.0890735 4.0411 7.56535 75.2299 0.279757 0.281199 2.56005 1.03899 6.41542
0.093293 4.02723 7.53938 75.4241 0.278328 0.279765 2.5603 1.03828 6.37267
0.0977124 4.01223 7.5113 75.6355 0.276862 0.278295 2.57102 1.03934 6.29468
0.102341 3.99606 7.48103 75.865 0.275411 0.276839 2.58276 1.04156 6.19788
0.107189 3.97871 7.44855 76.1129 0.274021 0.275445 2.60149 1.04543 6.082
0.112267 3.96018 7.41386 76.3799 0.272702 0.274121 2.61922 1.04928 5.96982
0.117585 3.9405 7.37702 76.6657 0.271501 0.272917 2.64412 1.0546 5.84066
0.123155 3.91973 7.33813 76.9703 0.270471 0.271883 2.66127 1.05879 5.73982
0.128989 3.89792 7.2973 77.293 0.269614 0.271023 2.68761 1.0642 5.62744
0.135099 3.87518 7.25473 77.6329 0.268941 0.270348 2.70307 1.06859 5.54063
0.141499 3.85159 7.21057 77.9893 0.26846 0.269866 2.72008 1.07247 5.46613
