Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.001 0 23609.2 44198.8 0.112578 -139.479 2.18462e+16 3.09074e+07 3.0945e+11 6.25004e+34
0.001 0.0204082 208.797 390.89 3.90365 0.357167 0.358809 69.7973 2.72523 15.8266
0.001 0.0408163 102.664 192.197 6.64817 0.349595 0.351221 37.1281 2.54153 6.85504
0.001 0.0612245 67.0757 125.573 9.14831 0.343159 0.344771 25.5251 2.36533 4.12238
0.001 0.0816327 49.2433 92.1885 11.5347 0.33757 0.339169 19.5439 2.2119 2.94235
0.001 0.102041 38.532 72.1358 13.8643 0.332621 0.334208 15.9946 2.08336 2.36146
0.001 0.122449 31.3863 58.7584 16.17 0.328173 0.32975 13.5665 1.97504 2.04062
0.001 0.142857 26.2801 49.1991 18.4733 0.324161 0.325728 11.8503 1.88331 1.87475
0.001 0.163265 22.4493 42.0274 20.7904 0.320517 0.322075 10.5477 1.80578 1.79554
0.001 0.183673 19.4692 36.4483 23.1342 0.317193 0.318743 9.51094 1.73748 1.77793
0.001 0.204082 17.0847 31.9844 25.5158 0.314171 0.315712 8.69171 1.67863 1.79634
0.001 0.22449 15.1336 28.3316 27.9453 0.311412 0.312946 8.00661 1.62682 1.84707
0.001 0.244898 13.5075 25.2875 30.4322 0.308908 0.310435 7.44537 1.58135 1.91648
0.001 0.265306 12.1315 22.7114 32.9859 0.306643 0.308164 6.95889 1.53994 2.0048
0.001 0.285714 10.952 20.5033 35.6159 0.304584 0.306099 6.55154 1.50396 2.10108
0.001 0.306122 9.9298 18.5896 38.3318 0.302743 0.304253 6.18575 1.47079 2.21027
0.001 0.326531 9.03532 16.915 41.1441 0.3011 0.302606 5.86665 1.44068 2.32623
0.001 0.346939 8.24606 15.4375 44.0636 0.299652 0.301153 5.58741 1.41355 2.44621
0.001 0.367347 7.5445 14.1241 47.1023 0.298378 0.299876 5.34489 1.3894 2.56579
0.001 0.387755 6.91679 12.9489 50.2732 0.297291 0.298785 5.11545 1.36569 2.69923
0.001 0.408163 6.35185 11.8913 53.5908 0.296381 0.297873 4.91434 1.34486 2.82832
0.001 0.428571 5.84072 10.9344 57.071 0.295619 0.297109 4.73656 1.32581 2.95768
0.001 0.44898 5.37606 10.0645 60.7319 0.295026 0.296514 4.56732 1.30745 3.09612
0.001 0.469388 4.95181 9.2703 64.594 0.294595 0.296082 4.41293 1.29044 3.23551
0.001 0.489796 4.56292 8.54226 68.6803 0.294307 0.295793 4.27888 1.27541 3.36966
0.001 0.510204 4.20516 7.87248 73.0177 0.294176 0.295661 4.14857 1.26061 3.50876
0.001 0.530612 3.87492 7.25424 77.6369 0.29418 0.295666 4.03824 1.248 3.63859
0.001 0.55102 3.56915 6.68181 82.5737 0.294325 0.295811 3.92557 1.23472 3.78632
0.001 0.571429 3.28522 6.15027 87.8702 0.294617 0.296104 3.82446 1.22275 3.92892
0.001 0.591837 3.02088 5.65541 93.576 0.295049 0.296537 3.73292 1.21235 4.06395
0.001 0.612245 2.77418 5.19354 99.7503 0.295599 0.297089 3.64835 1.20197 4.20677
0.001 0.632653 2.54339 4.76149 106.465 0.296277 0.297769 3.56488 1.19184 4.35422
0.001 0.653061 2.32704 4.35645 113.805 0.297088 0.298582 3.49063 1.18282 4.49427
0.001 0.673469 2.1238 3.97597 121.879 0.29802 0.299517 3.41727 1.17398 4.64217
0.001 0.693878 1.93252 3.61788 130.819 0.299069 0.300569 3.35439 1.16609 4.78584
0.001 0.714286 1.75218 3.28027 140.793 0.300239 0.301742 3.28885 1.15783 4.94104
0.001 0.734694 1.58187 2.96142 152.015 0.301536 0.303043 3.23253 1.15085 5.08371
0.001 0.755102 1.42076 2.65981 164.768 0.302922 0.304433 3.18015 1.14418 5.23281
0.001 0.77551 1.26814 2.37409 179.428 0.304439 0.305954 3.13336 1.13792 5.37664
0.001 0.795918 1.12335 2.10302 196.508 0.306069 0.307588 3.08278 1.13196 5.52919
0.001 0.816327 0.985801 1.84552 216.732 0.307787 0.309311 3.0449 1.12688 5.66601
0.001 0.836735 0.854967 1.60059 241.159 0.309632 0.311161 2.99793 1.12065 5.83414
0.001 0.857143 0.730367 1.36732 271.399 0.311572 0.313107 2.95984 1.11574 5.98539
0.001 0.877551 0.611566 1.14491 310.05 0.313624 0.315164 2.9243 1.11163 6.12739
0.001 0.897959 0.498169 0.932623 361.603 0.315787 0.317333 2.89446 1.10735 6.27779
0.001 0.918367 0.389815 0.729773 434.632 0.318062 0.319614 2.86279 1.10332 6.43141
0.001 0.938776 0.286174 0.535748 548.014 0.320424 0.321981 2.83183 1.0995 6.58986
0.001 0.959184 0.186947 0.349984 754.181 0.322905 0.324469 2.8016 1.09581 6.74999
0.001 0.979592 0.0918574 0.171966 1285.08 0.325524 0.327094 2.78147 1.09309 6.89956
0.001 1 0.000651038 0.00121881 52609 0.328296 0.329873 2.757 1.09007 7.05947
0.00120679 0 13766.5 25772.3 0.168712 0.358653 0.360298 221.162 2.71483 49.1246
0.00120679 0.0204082 207.365 388.209 3.92385 0.352223 0.353855 60.9765 2.66577 13.036
0.00120679 0.0408163 102.286 191.49 6.66658 0.345442 0.347059 34.5185 2.50063 6.1061
0.00120679 0.0612245 66.9004 125.244 9.16629 0.339568 0.341172 24.2366 2.33251 3.80207
0.00120679 0.0816327 49.1407 91.9964 11.5527 0.334386 0.335978 18.8449 2.1843 2.78777
0.00120679 0.102041 38.4639 72.0083 13.8827 0.329775 0.331356 15.5141 2.06103 2.26903
0.00120679 0.122449 31.3375 58.667 16.1889 0.325625 0.327195 13.2334 1.95691 1.98645
0.00120679 0.142857 26.2431 49.1298 18.4928 0.321844 0.323405 11.6007 1.86854 1.84227
0.00120679 0.163265 22.4202 41.973 20.8106 0.318411 0.319964 10.3586 1.7933 1.77669
0.00120679 0.183673 19.4456 36.4042 23.1552 0.315277 0.316821 9.37935 1.72815 1.76579
0.00120679 0.204082 17.0652 31.9479 25.5376 0.312409 0.313945 8.59372 1.67156 1.79045
0.00120679 0.22449 15.1172 28.3009 27.968 0.309799 0.311329 7.91713 1.62007 1.84591
0.00120679 0.244898 13.4935 25.2612 30.4559 0.307429 0.308952 7.38907 1.57714 1.91468
0.00120679 0.265306 12.1194 22.6888 33.0106 0.305264 0.306782 6.90632 1.53582 2.00678
0.00120679 0.285714 10.9415 20.4836 35.6416 0.303313 0.304824 6.50481 1.50015 2.10524
0.00120679 0.306122 9.92053 18.5722 38.3587 0.301552 0.303058 6.14856 1.46788 2.21155
0.00120679 0.326531 9.02712 16.8997 41.1721 0.299978 0.301481 5.8426 1.4383 2.32668
0.00120679 0.346939 8.23878 15.4238 44.0928 0.298577 0.300075 5.56861 1.41162 2.44563
0.00120679 0.367347 7.538 14.1119 47.1327 0.297357 0.298852 5.31385 1.38612 2.5742
0.00120679 0.387755 6.91097 12.938 50.305 0.296297 0.297789 5.09508 1.36391 2.70064
0.00120679 0.408163 6.34662 11.8815 53.6239 0.295395 0.296884 4.88744 1.34203 2.83826
0.00120679 0.428571 5.83601 10.9256 57.1055 0.294644 0.296131 4.70946 1.32289 2.97048
0.00120679 0.44898 5.37182 10.0566 60.7679 0.294041 0.295526 4.54179 1.30455 3.1088
0.00120679 0.469388 4.94798 9.26313 64.6314 0.293595 0.295079 4.39126 1.28811 3.24347
0.00120679 0.489796 4.55947 8.53579 68.7194 0.293283 0.294766 4.25771 1.27278 3.37889
0.00120679 0.510204 4.20204 7.86664 73.0584 0.293103 0.294585 4.12313 1.25768 3.52541
0.00120679 0.530612 3.8721 7.24897 77.6793 0.293057 0.294539 4.00945 1.24431 3.66438
0.00120679 0.55102 3.5666 6.67705 82.6178 0.293148 0.29463 3.89417 1.23086 3.81355
0.00120679 0.571429 3.28293 6.14599 87.9161 0.293366 0.294849 3.79888 1.21966 3.946
0.00120679 0.591837 3.01883 5.65156 93.6237 0.293715 0.295199 3.70319 1.20804 4.09476
0.00120679 0.612245 2.77234 5.1901 99.8 0.294172 0.295658 3.61633 1.19743 4.23968
0.00120679 0.632653 2.54175 4.75842 106.516 0.294756 0.296243 3.53248 1.18697 4.39026
0.00120679 0.653061 2.32558 4.35372 113.859 0.295462 0.296951 3.45732 1.17786 4.53204
0.00120679 0.673469 2.12251 3.97356 121.935 0.296271 0.297762 3.38362 1.16893 4.6832
0.00120679 0.693878 1.9314 3.61577 130.876 0.297205 0.298699 3.31881 1.16049 4.83139
