Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
1 0 18.1707 34.0174 24.3633 0.272186 0.273604 6.27738 1.43857 1.8156
1 0.0204082 16.2989 30.5132 26.433 0.270097 0.271507 5.85218 1.40124 1.94425
1 0.0408163 14.7276 27.5716 28.5211 0.268143 0.269547 5.4822 1.3677 2.08266
1 0.0612245 13.3899 25.0672 30.6325 0.266308 0.267706 5.16326 1.33812 2.22588
1 0.0816327 12.2374 22.9097 32.7716 0.264595 0.265988 4.88869 1.31154 2.37042
1 0.102041 11.2343 21.0317 34.9427 0.262972 0.264359 4.64042 1.28715 2.51932
1 0.122449 10.3532 19.3823 37.15 0.261459 0.262841 4.42883 1.26532 2.6692
1 0.142857 9.57334 17.9223 39.3974 0.260017 0.261394 4.23327 1.24492 2.82187
1 0.163265 8.87812 16.6207 41.6893 0.258655 0.260027 4.06438 1.22708 2.96262
1 0.183673 8.25452 15.4533 44.0297 0.257385 0.258753 3.90586 1.20976 3.11433
1 0.204082 7.69208 14.4004 46.4229 0.256166 0.25753 3.76223 1.19407 3.26061
1 0.22449 7.18223 13.4459 48.8732 0.255023 0.256383 3.62334 1.17885 3.41393
1 0.244898 6.71789 12.5766 51.3855 0.253948 0.255304 3.50806 1.16534 3.55723
1 0.265306 6.29328 11.7817 53.9644 0.252933 0.254285 3.40189 1.15307 3.6916
1 0.285714 5.90353 11.052 56.6149 0.251973 0.253321 3.29469 1.14085 3.83433
1 0.306122 5.54456 10.38 59.3423 0.251067 0.252412 3.20447 1.1298 3.96973
1 0.326531 5.21273 9.75876 62.1536 0.250219 0.251562 3.10997 1.1188 4.1139
1 0.346939 4.90519 9.18302 65.0539 0.249412 0.250751 3.03331 1.10923 4.24053
1 0.367347 4.6193 8.64781 68.0507 0.248669 0.250006 2.95632 1.09993 4.37163
1 0.387755 4.35291 8.1491 71.1508 0.247966 0.2493 2.883 1.09076 4.50691
1 0.408163 4.10405 7.68321 74.3627 0.247309 0.248641 2.81286 1.08208 4.63789
1 0.428571 3.87112 7.24714 77.694 0.246694 0.248024 2.75397 1.07466 4.75148
1 0.44898 3.65258 6.838 81.155 0.246124 0.247452 2.69328 1.06681 4.87912
1 0.469388 3.44714 6.45339 84.7561 0.245595 0.246921 2.63836 1.05981 4.99708
1 0.489796 3.25366 6.09119 88.5086 0.24511 0.246434 2.58466 1.05285 5.11861
1 0.510204 3.07115 5.74951 92.4249 0.244663 0.245985 2.52767 1.04568 5.24756
1 0.530612 2.89869 5.42664 96.5192 0.244248 0.24557 2.48181 1.03975 5.35472
1 0.55102 2.73546 5.12106 100.807 0.243878 0.245197 2.43846 1.03405 5.46244
1 0.571429 2.58075 4.83143 105.307 0.243539 0.244858 2.39647 1.02818 5.57999
1 0.591837 2.43392 4.55655 110.036 0.243247 0.244564 2.35679 1.02285 5.68581
1 0.612245 2.29437 4.2953 115.018 0.242991 0.244307 2.31377 1.01707 5.80729
1 0.632653 2.16158 4.04669 120.278 0.242758 0.244074 2.27904 1.01239 5.90662
1 0.653061 2.03506 3.80985 125.844 0.242567 0.243882 2.23991 1.00712 6.02325
1 0.673469 1.91436 3.58388 131.749 0.242398 0.243712 2.20713 1.00262 6.12445
1 0.693878 1.79915 3.3682 138.027 0.242274 0.243588 2.17328 0.998019 6.23118
1 0.714286 1.68898 3.16194 144.726 0.242168 0.243481 2.14426 0.993982 6.32664
1 0.734694 1.58361 2.96468 151.89 0.242103 0.243417 2.11168 0.989681 6.43405
1 0.755102 1.48267 2.77572 159.581 0.242066 0.243379 2.08399 0.985549 6.53774
1 0.77551 1.38592 2.59458 167.865 0.242062 0.243376 2.05611 0.981648 6.63755
1 0.795918 1.29308 2.42078 176.826 0.242089 0.243403 2.03148 0.978208 6.72963
1 0.816327 1.20393 2.25388 186.558 0.242144 0.243458 2.00641 0.974639 6.82843
1 0.836735 1.11826 2.09349 197.178 0.24223 0.243543 1.98238 0.971289 6.92104
1 0.857143 1.03586 1.93923 208.829 0.242341 0.243655 1.95947 0.968048 7.01657
1 0.877551 0.956545 1.79075 221.685 0.24248 0.243795 1.93922 0.964936 7.10655
1 0.897959 0.880151 1.64773 235.965 0.242661 0.243976 1.91742 0.961913 7.20018
1 0.918367 0.80652 1.50989 251.944 0.242853 0.244169 1.89638 0.958988 7.29273
1 0.938776 0.735493 1.37692 269.98 0.243072 0.244388 1.87517 0.955876 7.39329
1 0.959184 0.666949 1.2486 290.533 0.243332 0.24465 1.85542 0.952935 7.48919
1 0.979592 0.600755 1.12467 314.226 0.243608 0.244927 1.83899 0.950565 7.57126
1 1 0.536776 1.0049 341.917 0.243916 0.245236 1.82254 0.948163 7.65834
1.04811 0 17.4806 32.7254 25.0812 0.270739 0.272152 6.11627 1.42417 1.85679
1.04811 0.0204082 15.7415 29.4698 27.1319 0.268686 0.270092 5.71286 1.38882 1.98571
1.04811 0.0408163 14.2717 26.718 29.2017 0.266769 0.268168 5.3638 1.3568 2.12534
1.04811 0.0612245 13.0132 24.3621 31.2951 0.264966 0.266359 5.06059 1.32838 2.26571
1.04811 0.0816327 11.9234 22.3217 33.4169 0.263275 0.264663 4.7998 1.30318 2.40987
1.04811 0.102041 10.9706 20.5381 35.5707 0.26168 0.263062 4.57093 1.27976 2.55805
1.04811 0.122449 10.1305 18.9654 37.7608 0.260181 0.261559 4.36749 1.25893 2.70247
1.04811 0.142857 9.38452 17.5688 39.9904 0.258761 0.260133 4.17717 1.23908 2.85428
1.04811 0.163265 8.71731 16.3197 42.2647 0.257419 0.258787 4.00594 1.22113 3.00309
1.04811 0.183673 8.11731 15.1964 44.5868 0.256163 0.257526 3.86436 1.20536 3.14086
1.04811 0.204082 7.57477 14.1807 46.9611 0.254975 0.256334 3.72128 1.18963 3.28744
1.04811 0.22449 7.08182 13.2579 49.3919 0.253837 0.255193 3.59861 1.17554 3.42997
1.04811 0.244898 6.63201 12.4158 51.8837 0.25278 0.254132 3.48223 1.16224 3.57189
1.04811 0.265306 6.22003 11.6445 54.4403 0.251788 0.253137 3.37421 1.14986 3.71037
1.04811 0.285714 5.84098 10.9349 57.0691 0.250843 0.252188 3.27231 1.13786 3.85365
1.04811 0.306122 5.49136 10.2804 59.773 0.24996 0.251301 3.18187 1.1272 3.98371
1.04811 0.326531 5.16783 9.6747 62.5582 0.24913 0.250469 3.09691 1.11693 4.11714
1.04811 0.346939 4.86745 9.11236 65.4318 0.248348 0.249684 3.01448 1.10697 4.25253
1.04811 0.367347 4.58793 8.58908 68.3994 0.247622 0.248956 2.9422 1.09808 4.37706
1.04811 0.387755 4.32713 8.10083 71.4685 0.246938 0.248269 2.86828 1.089 4.5121
1.04811 0.408163 4.08325 7.64427 74.6466 0.246304 0.247632 2.80348 1.08091 4.63225
1.04811 0.428571 3.85468 7.21636 77.9424 0.245714 0.24704 2.73855 1.07278 4.76134
1.04811 0.44898 3.64007 6.81459 81.364 0.245169 0.246493 2.68659 1.06601 4.86822
1.04811 0.469388 3.43813 6.43653 84.9226 0.244662 0.245985 2.62447 1.05828 5.00178
1.04811 0.489796 3.24779 6.0802 88.6286 0.244207 0.245528 2.57712 1.05184 5.11264
1.04811 0.510204 3.06807 5.74375 92.4945 0.243785 0.245104 2.52771 1.04544 5.22678
1.04811 0.530612 2.89812 5.42558 96.5334 0.243394 0.244712 2.48205 1.03949 5.33555
1.04811 0.55102 2.73715 5.12423 100.761 0.243058 0.244375 2.43554 1.03338 5.45463
1.04811 0.571429 2.58449 4.83843 105.192 0.242749 0.244064 2.3915 1.02758 5.56606
1.04811 0.591837 2.43949 4.56698 109.848 0.242488 0.243803 2.35128 1.02225 5.67665
1.04811 0.612245 2.30157 4.30878 114.748 0.242252 0.243566 2.3121 1.01702 5.78332
1.04811 0.632653 2.17027 4.06297 119.917 0.242048 0.243361 2.27601 1.01195 5.894
1.04811 0.653061 2.0451 3.82864 125.38 0.24189 0.243202 2.24022 1.00727 5.99847
1.04811 0.673469 1.92564 3.605 131.17 0.241765 0.243077 2.20984 1.00289 6.09558
1.04811 0.693878 1.81153 3.39137 137.319 0.241662 0.242974 2.17453 0.998133 6.20937
1.04811 0.714286 1.70238 3.18704 143.87 0.241606 0.242917 2.14663 0.994208 6.30003
1.04811 0.734694 1.5979 2.99144 150.87 0.241574 0.242885 2.11756 0.990111 6.4035
1.04811 0.755102 1.49776 2.80396 158.374 0.241571 0.242882 2.08662 0.985935 6.50837
1.04811 0.77551 1.40177 2.62426 166.44 0.241614 0.242926 2.06382 0.982635 6.59406
1.04811 0.795918 1.30961 2.45172 175.149 0.241681 0.242993 2.0357 0.978707 6.70077
1.04811 0.816327 1.22107 2.28596 184.591 0.241774 0.243086 2.00853 0.974941 6.80472
1.04811 0.836735 1.13594 2.12659 194.872 0.241896 0.243209 1.98645 0.971849 6.89458
1.04811 0.857143 1.05403 1.97326 206.122 0.242053 0.243366 1.96348 0.968487 6.99095
1.04811 0.877551 0.975179 1.82563 218.5 0.242245 0.243559 1.94111 0.965396 7.0841
1.04811 0.897959 0.899191 1.68338 232.207 0.242453 0.243767 1.92233 0.962505 7.17254
1.04811 0.918367 0.825914 1.54619 247.494 0.242702 0.244017 1.90098 0.959509 7.27044
1.04811 0.938776 0.75522 1.41385 264.673 0.242979 0.244295 1.88107 0.95667 7.36566
1.04811 0.959184 0.686966 1.28607 284.16 0.243273 0.244591 1.86176 0.953985 7.45664
1.04811 0.979592 0.621028 1.16263 306.501 0.243608 0.244927 1.8435 0.951314 7.54732
1.04811 1 0.557283 1.04329 332.436 0.243965 0.245285 1.82757 0.948809 7.63803
1.09854 0 16.7916 31.4355 25.8492 0.269397 0.270805 5.94494 1.40934 1.90377
1.09854 0.0204082 15.1815 28.4213 27.8792 0.267382 0.268784 5.56465 1.37528 2.03673
1.09854 0.0408163 13.811 25.8556 29.9292 0.265493 0.266888 5.24715 1.3457 2.17149
1.09854 0.0612245 12.6308 23.6462 32.003 0.263717 0.265106 4.96079 1.31849 2.31532
1.09854 0.0816327 11.6032 21.7224 34.106 0.262054 0.263438 4.71154 1.29405 2.45976
1.09854 0.102041 10.7011 20.0336 36.2404 0.260479 0.261858 4.50327 1.27296 2.59417
1.09854 0.122449 9.90233 18.5382 38.4116 0.259005 0.260379 4.30221 1.25204 2.74344
1.09854 0.142857 9.19031 17.2052 40.6226 0.257605 0.258974 4.12433 1.23332 2.88962
1.09854 0.163265 8.55174 16.0097 42.877 0.256295 0.257659 3.96126 1.21577 3.0372
1.09854 0.183673 7.97574 14.9314 45.179 0.255052 0.256412 3.82071 1.20046 3.17224
1.09854 0.204082 7.45358 13.9539 47.5326 0.253874 0.255229 3.68829 1.18557 3.31479
1.09854 0.22449 6.9781 13.0637 49.9415 0.252777 0.254128 3.55841 1.17121 3.46322
1.09854 0.244898 6.54319 12.2495 52.4111 0.251732 0.25308 3.44928 1.15862 3.59687
1.09854 0.265306 6.14395 11.5021 54.9451 0.250747 0.252091 3.34724 1.14655 3.73428
1.09854 0.285714 5.77627 10.8138 57.5479 0.249831 0.251172 3.25164 1.13536 3.86715
1.09854 0.306122 5.43628 10.1773 60.2266 0.248968 0.250306 3.15677 1.12408 4.00785
1.09854 0.326531 5.12124 9.58749 62.9845 0.248154 0.249489 3.0758 1.11449 4.1309
1.09854 0.346939 4.82844 9.03934 65.8279 0.247401 0.248733 2.99843 1.10519 4.25765
1.09854 0.367347 4.55551 8.52838 68.7642 0.24669 0.24802 2.9214 1.09571 4.39329
1.09854 0.387755 4.30056 8.0511 71.7994 0.246027 0.247355 2.85655 1.08746 4.51476
1.09854 0.408163 4.06186 7.60423 74.9412 0.245417 0.246742 2.79314 1.07972 4.62971
1.09854 0.428571 3.83792 7.18497 78.1976 0.244851 0.246174 2.73434 1.07203 4.75243
1.09854 0.44898 3.6274 6.79087 81.577 0.244322 0.245643 2.6735 1.06446 4.87545
1.09854 0.469388 3.42913 6.41969 85.0896 0.243846 0.245166 2.61686 1.05736 4.99632
1.09854 0.489796 3.24206 6.06947 88.7461 0.24341 0.244728 2.56999 1.05093 5.10642
1.09854 0.510204 3.06529 5.73854 92.5573 0.243012 0.244329 2.52139 1.04467 5.22258
1.09854 0.530612 2.898 5.42535 96.5364 0.242665 0.24398 2.47558 1.03878 5.32807
1.09854 0.55102 2.73941 5.12845 100.698 0.242354 0.243668 2.43394 1.03304 5.43847
1.09854 0.571429 2.58888 4.84664 105.059 0.242073 0.243386 2.39118 1.02728 5.55244
1.09854 0.591837 2.4458 4.57879 109.635 0.241831 0.243143 2.34751 1.02171 5.6681
1.09854 0.612245 2.30965 4.3239 114.447 0.241627 0.242938 2.31414 1.01714 5.76084
1.09854 0.632653 2.17992 4.08104 119.518 0.24146 0.24277 2.27446 1.01184 5.87805
1.09854 0.653061 2.05618 3.84938 124.873 0.241331 0.242642 2.24346 1.00748 5.97282
1.09854 0.673469 1.93801 3.62816 130.541 0.241235 0.242545 2.21158 1.00313 6.07237
1.09854 0.693878 1.82506 3.4167 136.555 0.241174 0.242484 2.17725 0.998468 6.18242
1.09854 0.714286 1.71698 3.21435 142.953 0.241147 0.242456 2.1483 0.994432 6.28092
1.09854 0.734694 1.61343 3.0205 149.78 0.241149 0.242458 2.12017 0.990519 6.37806
1.09854 0.755102 1.51421 2.83475 157.082 0.241195 0.242505 2.0917 0.986572 6.47945
1.09854 0.77551 1.41897 2.65646 164.924 0.241263 0.242574 2.06415 0.982849 6.57786
1.09854 0.795918 1.32753 2.48527 173.373 0.24137 0.24268 2.03916 0.979189 6.67779
1.09854 0.816327 1.23963 2.32072 182.514 0.241503 0.242814 2.01473 0.97578 6.77222
1.09854 0.836735 1.15509 2.16245 192.443 0.241676 0.242988 1.99321 0.972666 6.86235
1.09854 0.857143 1.07371 2.01009 203.283 0.241872 0.243184 1.96972 0.969394 6.96139
1.09854 0.877551 0.995316 1.86333 215.176 0.242105 0.243418 1.946 0.966046 7.0605
1.09854 0.897959 0.919757 1.72188 228.302 0.242361 0.243676 1.92911 0.963509 7.14301
1.09854 0.918367 0.846878 1.58544 242.884 0.242659 0.243975 1.906 0.960296 7.248
1.09854 0.938776 0.776523 1.45373 259.208 0.242972 0.244288 1.88678 0.957633 7.33457
1.09854 0.959184 0.708583 1.32654 277.633 0.24332 0.244638 1.86773 0.954821 7.43197
1.09854 0.979592 0.642911 1.2036 298.642 0.243695 0.245014 1.85246 0.952472 7.51716
