Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
10 0 3.05095 5.7117 92.8834 0.245515 0.24684 2.52733 1.0462 5.32308
10 0.0526316 3.05029 5.71046 92.8986 0.245519 0.246845 2.53005 1.04637 5.31795
10 0.105263 3.04961 5.70918 92.9141 0.245514 0.246839 2.52987 1.04619 5.32281
10 0.157895 3.04894 5.70792 92.9295 0.245515 0.246841 2.52991 1.04636 5.31828
10 0.210526 3.04826 5.70665 92.945 0.245516 0.246841 2.53167 1.04643 5.31694
10 0.263158 3.04759 5.70539 92.9604 0.24551 0.246836 2.52875 1.04594 5.32704
10 0.315789 3.04691 5.70413 92.9759 0.245517 0.246842 2.53356 1.04655 5.31441
10 0.368421 3.04623 5.70286 92.9913 0.245518 0.246844 2.52855 1.04606 5.3193
10 0.421053 3.04557 5.70161 93.0066 0.245515 0.24684 2.52848 1.04624 5.32235
10 0.473684 3.04489 5.70035 93.0221 0.24551 0.246836 2.52822 1.04613 5.32432
10 0.526316 3.04422 5.69909 93.0375 0.245518 0.246844 2.52753 1.04606 5.32826
10 0.578947 3.04354 5.69783 93.053 0.245515 0.246841 2.5315 1.04656 5.31568
10 0.631579 3.04287 5.69656 93.0684 0.245511 0.246837 2.52457 1.04576 5.33166
10 0.684211 3.0422 5.69531 93.0838 0.245512 0.246838 2.52817 1.04617 5.32517
10 0.736842 3.04153 5.69405 93.0993 0.245516 0.246842 2.53008 1.04627 5.31997
10 0.789474 3.04085 5.69278 93.1148 0.245522 0.246848 2.52733 1.04598 5.32925
10 0.842105 3.04017 5.69151 93.1304 0.24552 0.246846 2.52662 1.04578 5.32855
10 0.894737 3.0395 5.69026 93.1457 0.245519 0.246845 2.52429 1.04567 5.33252
10 0.947368 3.03883 5.68901 93.1611 0.245514 0.246839 2.52555 1.04573 5.32941
10 1 3.03816 5.68774 93.1767 0.245521 0.246847 2.52921 1.04607 5.32367
11.2884 0 3.04642 5.7032 92.9872 0.245516 0.246842 2.52607 1.04588 5.32866
11.2884 0.0526316 3.0462 5.7028 92.9921 0.245514 0.24684 2.52847 1.04601 5.32794
11.2884 0.105263 3.046 5.70243 92.9966 0.24551 0.246836 2.52631 1.04578 5.33057
11.2884 0.157895 3.0458 5.70205 93.0013 0.245514 0.24684 2.52616 1.04604 5.32675
11.2884 0.210526 3.04559 5.70166 93.0061 0.245513 0.246838 2.53102 1.04623 5.3216
11.2884 0.263158 3.04539 5.70128 93.0107 0.245512 0.246837 2.52865 1.04638 5.3175
11.2884 0.315789 3.04517 5.70087 93.0157 0.245512 0.246837 2.53189 1.04634 5.31855
11.2884 0.368421 3.04497 5.7005 93.0202 0.245516 0.246842 2.52794 1.04608 5.32415
11.2884 0.421053 3.04476 5.70011 93.025 0.245518 0.246844 2.52841 1.04598 5.32649
