Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
1 0 18.1707 34.0174 24.3633 0.272182 0.2736 6.2741 1.43865 1.83528
1 0.0204082 16.2989 30.5132 26.433 0.270101 0.271512 5.83897 1.40076 1.96761
1 0.0408163 14.7276 27.5716 28.5211 0.268146 0.26955 5.47911 1.36809 2.10172
1 0.0612245 13.3899 25.0672 30.6325 0.26632 0.267718 5.16393 1.3385 2.24349
1 0.0816327 12.2374 22.9097 32.7716 0.264589 0.265982 4.8771 1.31122 2.39607
1 0.102041 11.2343 21.0317 34.9427 0.262978 0.264365 4.63515 1.28706 2.54549
1 0.122449 10.3532 19.3823 37.15 0.261457 0.262838 4.4235 1.26532 2.69385
1 0.142857 9.57334 17.9223 39.3974 0.260012 0.261389 4.22844 1.24515 2.84502
1 0.163265 8.87812 16.6207 41.6893 0.258655 0.260027 4.06351 1.22748 2.98943
1 0.183673 8.25452 15.4533 44.0297 0.257371 0.258739 3.89974 1.20986 3.14695
1 0.204082 7.69208 14.4004 46.4229 0.256168 0.257532 3.75257 1.19363 3.299
1 0.22449 7.18223 13.4459 48.8732 0.255026 0.256386 3.6263 1.17938 3.44383
1 0.244898 6.71789 12.5766 51.3855 0.25394 0.255296 3.50346 1.16547 3.59096
1 0.265306 6.29328 11.7817 53.9644 0.25293 0.254283 3.39552 1.15278 3.73463
1 0.285714 5.90353 11.052 56.6149 0.251976 0.253325 3.29617 1.14119 3.87182
1 0.306122 5.54456 10.38 59.3423 0.25106 0.252406 3.19736 1.12946 4.01709
1 0.326531 5.21273 9.75876 62.1536 0.25021 0.251553 3.11183 1.11912 4.15112
1 0.346939 4.90519 9.18302 65.0539 0.249415 0.250754 3.03174 1.10966 4.28062
1 0.367347 4.6193 8.64781 68.0507 0.24866 0.249998 2.94917 1.09968 4.42402
1 0.387755 4.35291 8.1491 71.1508 0.247956 0.24929 2.88288 1.09102 4.54922
1 0.408163 4.10405 7.68321 74.3627 0.247298 0.248631 2.81489 1.0826 4.67749
1 0.428571 3.87112 7.24714 77.694 0.24669 0.24802 2.75119 1.07452 4.8087
1 0.44898 3.65258 6.838 81.155 0.246121 0.247449 2.68799 1.06682 4.93448
1 0.469388 3.44714 6.45339 84.7561 0.245595 0.246921 2.63482 1.05994 5.04988
1 0.489796 3.25366 6.09119 88.5086 0.245108 0.246432 2.58483 1.0532 5.16881
1 0.510204 3.07115 5.74951 92.4249 0.244656 0.245979 2.52991 1.04625 5.29434
1 0.530612 2.89869 5.42664 96.5192 0.244249 0.24557 2.47994 1.03997 5.41376
1 0.55102 2.73546 5.12106 100.807 0.24388 0.2452 2.4351 1.03371 5.53479
1 0.571429 2.58075 4.83143 105.307 0.24354 0.244858 2.3938 1.02819 5.64554
1 0.591837 2.43392 4.55655 110.036 0.243246 0.244564 2.35173 1.02266 5.75643
1 0.612245 2.29437 4.2953 115.018 0.242979 0.244296 2.31293 1.01748 5.86679
1 0.632653 2.16158 4.04669 120.278 0.242754 0.24407 2.27577 1.01264 5.97108
1 0.653061 2.03506 3.80985 125.844 0.242559 0.243874 2.24352 1.00793 6.07641
1 0.673469 1.91436 3.58388 131.749 0.242394 0.243708 2.21023 1.00324 6.18351
1 0.693878 1.79915 3.3682 138.027 0.242267 0.243581 2.17264 0.998243 6.30224
1 0.714286 1.68898 3.16194 144.726 0.242166 0.243479 2.14364 0.994132 6.40103
1 0.734694 1.58361 2.96468 151.89 0.242095 0.243408 2.11217 0.990127 6.49949
1 0.755102 1.48267 2.77572 159.581 0.242075 0.243388 2.08435 0.986148 6.60066
1 0.77551 1.38592 2.59458 167.865 0.242058 0.243371 2.05697 0.982216 6.70627
1 0.795918 1.29308 2.42078 176.826 0.242083 0.243396 2.03405 0.978786 6.79708
1 0.816327 1.20393 2.25388 186.558 0.242137 0.243451 2.00516 0.975088 6.9005
1 0.836735 1.11826 2.09349 197.178 0.242222 0.243536 1.98149 0.971427 7.00203
1 0.857143 1.03586 1.93923 208.829 0.242331 0.243646 1.95967 0.968262 7.09638
1 0.877551 0.956545 1.79075 221.685 0.242477 0.243792 1.93622 0.965078 7.19127
1 0.897959 0.880151 1.64773 235.965 0.242646 0.243961 1.91439 0.96177 7.29625
1 0.918367 0.80652 1.50989 251.944 0.242842 0.244158 1.89286 0.95907 7.38225
1 0.938776 0.735493 1.37692 269.98 0.243064 0.244381 1.87476 0.956292 7.47304
1 0.959184 0.666949 1.2486 290.533 0.243323 0.244641 1.85373 0.953249 7.57378
1 0.979592 0.600755 1.12467 314.226 0.2436 0.244919 1.83397 0.950417 7.67214
1 1 0.536776 1.0049 341.917 0.243914 0.245234 1.81789 0.947874 7.76333
1.04811 0 17.4806 32.7254 25.0812 0.270738 0.272151 6.11225 1.42417 1.87603
1.04811 0.0204082 15.7415 29.4698 27.1319 0.26869 0.270096 5.70998 1.38903 2.005
