Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.01 0 616.146 1153.49 1.73381 0.323545 0.325111 32.7873 2.22599 5.19498
0.01 0.0204082 155.285 290.71 4.87436 0.320587 0.322145 23.5281 2.11742 3.43298
0.01 0.0408163 87.2303 163.304 7.51215 0.317794 0.319345 18.4793 2.00563 2.60371
0.01 0.0612245 59.8498 112.045 9.96478 0.315183 0.316727 15.252 1.90349 2.16357
0.01 0.0816327 45.0699 84.3754 12.3268 0.312723 0.314261 13.0423 1.81531 1.92638
0.01 0.102041 35.8199 67.0586 14.6444 0.310423 0.311955 11.4285 1.73907 1.80695
0.01 0.122449 29.4859 55.2005 16.9455 0.308257 0.309783 10.2403 1.67463 1.76479
0.01 0.142857 24.8768 46.572 19.2495 0.306218 0.307738 9.26604 1.61772 1.77008
0.01 0.163265 21.3728 40.0121 21.5709 0.304307 0.305821 8.51057 1.56879 1.81032
0.01 0.183673 18.619 34.8568 23.922 0.302501 0.304011 7.87825 1.52556 1.87471
0.01 0.204082 16.398 30.6987 26.3131 0.300797 0.302302 7.34327 1.48731 1.95785
0.01 0.22449 14.5687 27.2741 28.7541 0.299195 0.300695 6.87849 1.45267 2.05704
0.01 0.244898 13.036 24.4047 31.2541 0.29769 0.299185 6.49045 1.42236 2.16401
0.01 0.265306 11.7332 21.9658 33.8222 0.296265 0.297757 6.15726 1.39515 2.2725
0.01 0.285714 10.6123 19.8672 36.4678 0.294926 0.296414 5.84985 1.36951 2.39531
0.01 0.306122 9.63755 18.0425 39.2003 0.29367 0.295154 5.59186 1.3473 2.51299
0.01 0.326531 8.78225 16.4413 42.0301 0.292497 0.293977 5.34722 1.32577 2.64374
0.01 0.346939 8.02569 15.0249 44.9679 0.291392 0.29287 5.13786 1.30702 2.76645
0.01 0.367347 7.35173 13.7632 48.0256 0.290356 0.29183 4.94463 1.28923 2.89594
0.01 0.387755 6.74755 12.6321 51.216 0.289396 0.290867 4.77461 1.27334 3.01839
0.01 0.408163 6.20285 11.6124 54.5533 0.288494 0.289962 4.60857 1.25771 3.151
0.01 0.428571 5.70928 10.6884 58.0536 0.287655 0.289121 4.46193 1.24345 3.28123
0.01 0.44898 5.25995 9.84717 61.7346 0.286885 0.288348 4.3262 1.23018 3.40895
0.01 0.469388 4.84919 9.07818 65.6165 0.286178 0.28764 4.19906 1.21785 3.53491
0.01 0.489796 4.47224 8.37249 69.7222 0.285526 0.286985 4.08491 1.20628 3.65966
0.01 0.510204 4.12509 7.72259 74.0781 0.284922 0.286379 3.97513 1.19512 3.78636
0.01 0.530612 3.80435 7.12213 78.7145 0.284388 0.285844 3.87584 1.18504 3.90873
0.01 0.55102 3.50711 6.56567 83.6667 0.283901 0.285356 3.78306 1.1754 4.03043
