Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.001 39.4067 73.7734 13.6329 0.333096 0.334685 16.264 2.09514 2.40018
0.00104737 39.3917 73.7453 13.6368 0.332374 0.333961 16.1475 2.08892 2.37856
0.00109699 39.3752 73.7144 13.6411 0.33168 0.333265 16.0188 2.08324 2.35306
0.00114895 39.3571 73.6804 13.6458 0.330966 0.33255 15.9056 2.07808 2.33101
0.00120338 39.3373 73.6434 13.6509 0.330259 0.331841 15.7956 2.07288 2.30881
0.00126038 39.3159 73.6033 13.6565 0.329538 0.331118 15.6526 2.06657 2.28341
0.00132009 39.2927 73.56 13.6625 0.328811 0.330389 15.5471 2.06184 2.26283
0.00138262 39.2678 73.5133 13.669 0.328072 0.329649 15.4198 2.05646 2.24072
0.00144812 39.2411 73.4633 13.676 0.327315 0.32889 15.3075 2.04983 2.22178
0.00151672 39.2125 73.4098 13.6835 0.326576 0.328149 15.1678 2.04264 2.1995
0.00158857 39.1821 73.3529 13.6914 0.32583 0.327401 15.06 2.03702 2.1809
0.00166382 39.1498 73.2924 13.6999 0.325107 0.326677 14.9245 2.02957 2.16007
0.00174263 39.1156 73.2284 13.7089 0.32439 0.325957 14.7759 2.02208 2.13856
0.00182518 39.0795 73.1609 13.7184 0.323681 0.325247 14.6489 2.0147 2.11903
0.00191164 39.0416 73.0899 13.7284 0.323019 0.324583 14.519 2.00738 2.1009
0.0020022 39.0019 73.0155 13.7389 0.322368 0.323931 14.3505 1.99824 2.07853
0.00209705 38.9604 72.9378 13.7498 0.321744 0.323305 14.205 1.98977 2.05904
0.00219639 38.9171 72.8568 13.7613 0.321148 0.322707 14.0629 1.98244 2.03863
0.00230043 38.8721 72.7726 13.7732 0.320576 0.322134 13.957 1.97579 2.0244
0.0024094 38.8255 72.6853 13.7857 0.32002 0.321577 13.8361 1.96892 2.0077
0.00252354 38.7772 72.5949 13.7985 0.319496 0.321051 13.7119 1.96307 1.99074
0.00264308 38.7273 72.5016 13.8118 0.318981 0.320534 13.6066 1.95827 1.97594
0.00276829 38.6759 72.4053 13.8256 0.318479 0.320031 13.5146 1.95384 1.96107
0.00289942 38.623 72.3063 13.8398 0.317993 0.319544 13.4397 1.95092 1.94824
0.00303677 38.5686 72.2043 13.8545 0.317521 0.319071 13.3681 1.94912 1.9342
0.00318063 38.5126 72.0995 13.8696 0.317061 0.31861 13.294 1.94711 1.92223
0.00333129 38.4552 71.992 13.8851 0.316617 0.318165 13.2524 1.94691 1.91225
0.0034891 38.3962 71.8817 13.9011 0.31619 0.317737 13.1894 1.94658 1.89939
0.00365438 38.3357 71.7684 13.9175 0.315773 0.317318 13.1554 1.94626 1.89211
0.00382749 38.2737 71.6523 13.9344 0.315387 0.316931 13.0914 1.94542 1.8808
0.00400881 38.2101 71.5332 13.9518 0.315022 0.316566 13.0567 1.94486 1.87319
0.00419871 38.1449 71.4113 13.9697 0.314672 0.316215 13.0006 1.94346 1.86472
0.0043976 38.0782 71.2863 13.9881 0.314354 0.315896 12.9375 1.94199 1.8549
0.00460592 38.0098 71.1581 14.007 0.31406 0.315601 12.8957 1.93921 1.8501
0.00482411 37.9397 71.027 14.0263 0.313787 0.315327 12.8061 1.93444 1.84089
0.00505263 37.8679 70.8927 14.0463 0.313547 0.315087 12.7257 1.92876 1.83396
0.00529198 37.7945 70.7551 14.0667 0.31332 0.314859 12.6064 1.9217 1.82483
0.00554266 37.7192 70.6142 14.0878 0.313113 0.314651 12.5171 1.91363 1.82038
0.00580523 37.6422 70.47 14.1094 0.312922 0.31446 12.413 1.90529 1.81422
0.00608022 37.5633 70.3224 14.1316 0.312746 0.314284 12.2924 1.8952 1.80899
0.00636825 37.4826 70.1713 14.1544 0.312576 0.314113 12.1936 1.88579 1.8057
0.00666992 37.4 70.0165 14.1779 0.31241 0.313946 12.0467 1.87378 1.80066
0.00698588 37.3154 69.8582 14.202 0.312246 0.313782 11.9401 1.86292 1.79969
0.00731681 37.2287 69.696 14.2268 0.312081 0.313617 11.8333 1.85219 1.79533
0.00766341 37.14 69.5299 14.2522 0.31191 0.313445 11.707 1.84109 1.79361
0.00802643 37.0491 69.3598 14.2785 0.311731 0.313266 11.6315 1.83182 1.79418
0.00840665 36.9561 69.1856 14.3054 0.311538 0.313072 11.5258 1.82174 1.79289
0.00880488 36.8607 69.007 14.3332 0.311337 0.31287 11.4711 1.81413 1.79458
0.00922198 36.763 68.8242 14.3617 0.31111 0.312643 11.4166 1.80702 1.79466
0.00965883 36.6629 68.6368 14.3911 0.31088 0.312412 11.3416 1.80001 1.79311
